coc_number,year,total_year_round_beds_es,total_year_round_beds_th,total_year_round_beds_sh,total_year_round_beds_psh,total_year_round_beds_rrh,total_year_round_beds_oph,total_seasonal_beds_es,total_overflow_beds_es,total_chronic_homeless_beds_psh
NJ-508,2024,213.0,119.0,0.0,857.0,96.0,0.0,0.0,224.0,287.0
NJ-509,2024,492.0,125.0,0.0,208.0,56.0,84.0,0.0,0.0,115.0
NJ-510,2024,62.0,12.0,0.0,295.0,236.0,178.0,116.0,414.0,35.0
NJ-511,2024,265.0,15.0,0.0,557.0,80.0,477.0,0.0,347.0,303.0
NJ-512,2024,32.0,11.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
NJ-513,2024,83.0,161.0,0.0,451.0,7.0,92.0,0.0,243.0,257.0
NJ-514,2024,395.0,99.0,0.0,407.0,464.0,577.0,0.0,376.0,156.0
NJ-515,2024,311.0,236.0,0.0,491.0,654.0,8.0,32.0,4.0,41.0
NJ-516,2024,274.0,118.0,0.0,121.0,48.0,0.0,0.0,0.0,43.0
NM-500,2024,1504.0,404.0,0.0,2587.0,702.0,148.0,0.0,10.0,749.0
NM-501,2024,1033.0,241.0,0.0,1218.0,345.0,0.0,5.0,7.0,333.0
NV-500,2024,3482.0,703.0,0.0,2142.0,1872.0,628.0,20.0,170.0,918.0
NV-501,2024,1116.0,400.0,0.0,461.0,93.0,189.0,0.0,84.0,87.0
NV-502,2024,98.0,59.0,0.0,141.0,88.0,106.0,0.0,0.0,0.0
NY-500,2024,717.0,165.0,12.0,1453.0,470.0,226.0,56.0,88.0,542.0
NY-501,2024,607.0,41.0,0.0,315.0,306.0,0.0,0.0,0.0,55.0
NY-503,2024,515.0,155.0,4.0,838.0,218.0,25.0,35.0,148.0,227.0
NY-505,2024,1098.0,167.0,0.0,921.0,497.0,881.0,0.0,6.0,212.0
NY-507,2024,202.0,92.0,0.0,463.0,190.0,10.0,0.0,165.0,76.0
NY-508,2024,1224.0,375.0,0.0,1210.0,389.0,75.0,107.0,0.0,285.0
NY-510,2024,176.0,45.0,0.0,153.0,41.0,114.0,0.0,0.0,5.0
NY-511,2024,699.0,99.0,0.0,534.0,134.0,0.0,0.0,2.0,128.0
NY-512,2024,97.0,53.0,0.0,734.0,136.0,38.0,17.0,90.0,226.0
NY-513,2024,336.0,133.0,0.0,170.0,1.0,0.0,0.0,0.0,4.0
NY-514,2024,214.0,23.0,0.0,13.0,20.0,52.0,0.0,0.0,0.0
NY-518,2024,251.0,37.0,0.0,447.0,126.0,22.0,0.0,0.0,39.0
NY-519,2024,24.0,9.0,0.0,46.0,6.0,0.0,0.0,125.0,11.0
NY-520,2024,12.0,0.0,0.0,7.0,40.0,2.0,0.0,48.0,7.0
NY-522,2024,42.0,10.0,0.0,465.0,98.0,0.0,54.0,120.0,30.0
NY-523,2024,114.0,47.0,0.0,227.0,62.0,35.0,111.0,278.0,73.0
NY-525,2024,966.0,5.0,0.0,202.0,206.0,145.0,10.0,5.0,11.0
NY-600,2024,108962.0,3322.0,40.0,39794.0,1194.0,15886.0,0.0,33283.0,22869.0
NY-601,2024,446.0,142.0,0.0,262.0,1.0,72.0,0.0,157.0,19.0
NY-602,2024,264.0,57.0,0.0,305.0,77.0,66.0,50.0,339.0,103.0
NY-603,2024,3901.0,82.0,18.0,2130.0,409.0,0.0,0.0,0.0,555.0
NY-604,2024,1104.0,522.0,0.0,1531.0,157.0,3756.0,40.0,10.0,3.0
NY-606,2024,45.0,0.0,0.0,77.0,44.0,170.0,55.0,3.0,21.0
NY-608,2024,75.0,13.0,0.0,165.0,65.0,97.0,45.0,433.0,41.0
OH-500,2024,611.0,263.0,20.0,1863.0,1114.0,0.0,200.0,98.0,1771.0
OH-501,2024,533.0,55.0,0.0,898.0,117.0,172.0,35.0,38.0,529.0
OH-502,2024,1443.0,91.0,51.0,4495.0,1281.0,0.0,109.0,155.0,757.0
OH-503,2024,1173.0,128.0,0.0,3593.0,443.0,0.0,485.0,214.0,3107.0
OH-504,2024,253.0,20.0,0.0,492.0,40.0,45.0,0.0,0.0,197.0
OH-505,2024,476.0,117.0,0.0,1436.0,290.0,0.0,0.0,120.0,524.0
OH-506,2024,328.0,133.0,22.0,784.0,281.0,0.0,0.0,75.0,575.0
OH-507,2024,3034.0,711.0,0.0,3514.0,2014.0,204.0,40.0,9.0,1477.0
OH-508,2024,249.0,26.0,4.0,590.0,172.0,97.0,0.0,13.0,505.0
OK-500,2024,87.0,246.0,0.0,14.0,20.0,0.0,0.0,20.0,3.0
OK-501,2024,757.0,202.0,6.0,582.0,567.0,189.0,0.0,14.0,314.0
OK-502,2024,1128.0,259.0,30.0,1114.0,222.0,0.0,0.0,0.0,211.0
OK-503,2024,64.0,32.0,0.0,61.0,8.0,0.0,0.0,0.0,61.0
OK-504,2024,135.0,29.0,0.0,77.0,5.0,0.0,0.0,0.0,11.0
OK-505,2024,80.0,0.0,0.0,61.0,1.0,0.0,0.0,0.0,35.0
OK-506,2024,103.0,43.0,0.0,9.0,34.0,12.0,0.0,0.0,3.0
OK-507,2024,490.0,0.0,0.0,76.0,178.0,0.0,0.0,49.0,0.0
OR-500,2024,1088.0,117.0,0.0,976.0,407.0,368.0,0.0,0.0,340.0
OR-501,2024,2995.0,825.0,0.0,5995.0,2430.0,887.0,55.0,0.0,1514.0
OR-502,2024,493.0,338.0,0.0,133.0,478.0,29.0,0.0,0.0,133.0
OR-503,2024,628.0,91.0,0.0,142.0,70.0,150.0,20.0,0.0,122.0
