coc_number,coc_name,year,overall_homeless,overall_homeless_individuals,overall_homeless_people_in_families,overall_homeless_family_households,overall_chronically_homeless_individuals,sheltered_es_homeless,sheltered_es_homeless_individuals,sheltered_es_homeless_people_in_families,sheltered_es_homeless_family_households,sheltered_th_homeless,sheltered_th_homeless_individuals,sheltered_th_homeless_people_in_families,sheltered_th_homeless_family_households,sheltered_total_homeless,sheltered_total_homeless_individuals,sheltered_total_homeless_people_in_families,sheltered_total_homeless_family_households,sheltered_total_chronically_homeless_individuals,unsheltered_homeless,unsheltered_homeless_individuals,unsheltered_homeless_people_in_families,unsheltered_homeless_family_households,unsheltered_chronically_homeless_individuals
CA-603,Santa Maria/Santa Barbara County CoC,2024,2119.0,1755.0,364.0,125.0,638.0,696.0,466.0,230.0,83.0,91.0,53.0,38.0,10.0,787.0,519.0,268.0,93.0,262.0,1332.0,1236.0,96.0,32.0,376.0
CA-604,Bakersfield/Kern County CoC,2024,2669.0,2453.0,216.0,72.0,776.0,848.0,713.0,135.0,43.0,158.0,94.0,64.0,22.0,1006.0,807.0,199.0,65.0,324.0,1663.0,1646.0,17.0,7.0,452.0
CA-606,Long Beach CoC,2024,3376.0,3273.0,103.0,27.0,1705.0,621.0,545.0,76.0,19.0,128.0,128.0,0.0,0.0,921.0,845.0,76.0,19.0,367.0,2455.0,2428.0,27.0,8.0,1338.0
CA-607,Pasadena CoC,2024,556.0,455.0,101.0,32.0,238.0,186.0,142.0,44.0,13.0,49.0,3.0,46.0,15.0,235.0,145.0,90.0,28.0,68.0,321.0,310.0,11.0,4.0,170.0
CA-608,Riverside City & County CoC,2024,4249.0,3493.0,756.0,227.0,972.0,1426.0,839.0,587.0,182.0,382.0,233.0,149.0,37.0,1808.0,1072.0,736.0,219.0,313.0,2441.0,2421.0,20.0,8.0,659.0
CA-609,San Bernardino City & County CoC,2024,4255.0,3780.0,475.0,143.0,1906.0,844.0,616.0,228.0,62.0,356.0,164.0,192.0,65.0,1200.0,780.0,420.0,127.0,233.0,3055.0,3000.0,55.0,16.0,1673.0
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",2024,2358.0,1987.0,371.0,118.0,994.0,689.0,548.0,141.0,39.0,229.0,38.0,191.0,69.0,927.0,595.0,332.0,108.0,340.0,1431.0,1392.0,39.0,10.0,654.0
CA-612,Glendale CoC,2024,175.0,103.0,72.0,24.0,50.0,54.0,25.0,29.0,10.0,41.0,0.0,41.0,13.0,95.0,25.0,70.0,23.0,12.0,80.0,78.0,2.0,1.0,38.0
CA-613,Imperial County CoC,2024,1508.0,1400.0,108.0,32.0,469.0,79.0,35.0,44.0,15.0,54.0,42.0,12.0,3.0,133.0,77.0,56.0,18.0,23.0,1375.0,1323.0,52.0,14.0,446.0
CA-614,San Luis Obispo County CoC,2024,1175.0,1032.0,143.0,43.0,328.0,337.0,238.0,99.0,29.0,38.0,16.0,22.0,7.0,375.0,254.0,121.0,36.0,64.0,800.0,778.0,22.0,7.0,264.0
CO-500,Colorado Balance of State CoC,2024,2395.0,1955.0,440.0,135.0,718.0,675.0,461.0,214.0,70.0,378.0,279.0,99.0,30.0,1053.0,740.0,313.0,100.0,82.0,1342.0,1215.0,127.0,35.0,636.0
CO-503,Metropolitan Denver CoC,2024,14281.0,6876.0,7405.0,1750.0,2818.0,9878.0,3417.0,6461.0,1480.0,1443.0,580.0,863.0,238.0,11362.0,4038.0,7324.0,1718.0,1199.0,2919.0,2838.0,81.0,32.0,1619.0
CO-504,Colorado Springs/El Paso County CoC,2024,1146.0,695.0,451.0,149.0,272.0,537.0,383.0,154.0,46.0,350.0,53.0,297.0,103.0,887.0,436.0,451.0,149.0,117.0,259.0,259.0,0.0,0.0,155.0
CO-505,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",2024,893.0,670.0,223.0,60.0,251.0,530.0,382.0,148.0,40.0,92.0,21.0,71.0,19.0,622.0,403.0,219.0,59.0,151.0,271.0,267.0,4.0,1.0,100.0
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2024,713.0,464.0,249.0,84.0,22.0,506.0,301.0,205.0,71.0,98.0,64.0,34.0,9.0,604.0,365.0,239.0,80.0,13.0,109.0,99.0,10.0,4.0,9.0
CT-505,Connecticut Balance of State CoC,2024,2697.0,1838.0,859.0,278.0,59.0,1961.0,1215.0,746.0,237.0,251.0,141.0,110.0,40.0,2232.0,1376.0,856.0,277.0,44.0,465.0,462.0,3.0,1.0,15.0
DC-500,District of Columbia CoC,2024,5616.0,3960.0,1656.0,539.0,1386.0,3308.0,2329.0,979.0,289.0,1404.0,739.0,665.0,245.0,4716.0,3072.0,1644.0,534.0,900.0,900.0,888.0,12.0,5.0,486.0
DE-500,Delaware Statewide CoC,2024,1358.0,803.0,555.0,173.0,224.0,888.0,466.0,422.0,129.0,232.0,101.0,131.0,43.0,1120.0,567.0,553.0,172.0,132.0,238.0,236.0,2.0,1.0,92.0
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2024,1157.0,996.0,161.0,62.0,281.0,258.0,206.0,52.0,18.0,245.0,161.0,84.0,34.0,503.0,367.0,136.0,52.0,49.0,654.0,629.0,25.0,10.0,232.0
FL-501,Tampa/Hillsborough County CoC,2024,1893.0,1253.0,640.0,228.0,190.0,828.0,412.0,416.0,129.0,43.0,32.0,11.0,4.0,871.0,444.0,427.0,133.0,69.0,1022.0,809.0,213.0,95.0,121.0
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2024,2110.0,1595.0,515.0,147.0,547.0,1060.0,725.0,335.0,88.0,259.0,184.0,75.0,27.0,1389.0,979.0,410.0,115.0,217.0,721.0,616.0,105.0,32.0,330.0
FL-503,"Lakeland, Winterhaven/Polk County CoC",2024,1207.0,750.0,457.0,134.0,21.0,311.0,186.0,125.0,36.0,238.0,123.0,115.0,37.0,549.0,309.0,240.0,73.0,21.0,658.0,441.0,217.0,61.0,0.0
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",2024,1164.0,805.0,359.0,93.0,166.0,174.0,89.0,85.0,24.0,188.0,53.0,135.0,37.0,378.0,158.0,220.0,61.0,27.0,786.0,647.0,139.0,32.0,139.0
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",2024,391.0,321.0,70.0,21.0,111.0,141.0,90.0,51.0,16.0,0.0,0.0,0.0,0.0,141.0,90.0,51.0,16.0,31.0,250.0,231.0,19.0,5.0,80.0
FL-506,Tallahassee/Leon County CoC,2024,840.0,622.0,218.0,78.0,172.0,438.0,316.0,122.0,48.0,186.0,108.0,78.0,25.0,624.0,424.0,200.0,73.0,120.0,216.0,198.0,18.0,5.0,52.0
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2024,2776.0,2010.0,766.0,237.0,671.0,1147.0,626.0,521.0,155.0,535.0,311.0,224.0,75.0,1682.0,937.0,745.0,230.0,236.0,1094.0,1073.0,21.0,7.0,435.0
FL-508,"Gainesville/Alachua, Putnam Counties CoC",2024,752.0,633.0,119.0,43.0,232.0,270.0,174.0,96.0,35.0,38.0,26.0,12.0,4.0,308.0,200.0,108.0,39.0,37.0,444.0,433.0,11.0,4.0,195.0
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2024,701.0,445.0,256.0,78.0,113.0,114.0,39.0,75.0,23.0,33.0,1.0,32.0,12.0,147.0,40.0,107.0,35.0,0.0,554.0,405.0,149.0,43.0,113.0
